DeviceID = e00fce6838cebdf42fc24391	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1638302570,26.600647,22.384720,0.006470,0.005737,0.004150,0.312500,-0.781441,4.023438,135.970703,1708.125000,2498.625000,12.562500,1707.750000,2498.437500,12.187500,411,20.394897,22.003891,445,20.472717,22.222855
1638303532,26.394653,22.251205,0.006958,0.005981,0.004395,0.273438,-0.781441,4.023438,50.012211,1707.000000,2498.625000,12.562500,1706.812500,2498.437500,12.187500,408,20.233154,21.934464,427,20.306396,22.196152
1638304494,26.033020,22.141724,0.008423,0.006958,0.005127,0.273438,-0.781441,4.042969,50.012211,1705.875000,2498.625000,12.375000,1705.687500,2498.250000,12.187500,405,20.159912,21.918442,444,20.169067,22.140076
1638305456,25.828552,22.157745,0.007568,0.006226,0.004517,0.273438,-0.781441,4.042969,50.793652,1704.937500,2498.625000,12.562500,1704.937500,2498.250000,12.187500,412,19.987488,21.905090,436,19.992065,22.153427
1638306553,26.045227,22.251205,0.007080,0.005859,0.004150,0.312500,-0.781441,4.023438,142.222229,1704.187500,2498.625000,12.562500,1704.000000,2498.437500,12.187500,415,19.972229,21.891739,440,19.955444,22.097351
1638307515,25.637817,22.133713,0.006592,0.005371,0.003784,0.273438,-0.781441,4.042969,50.012211,1703.625000,2498.812500,12.562500,1703.250000,2498.250000,12.187500,404,19.767761,21.862366,431,19.776917,22.054626
1638308477,25.753784,22.235184,0.005981,0.004883,0.003418,0.273438,-0.781441,4.042969,50.793652,1703.625000,2498.437500,12.562500,1703.062500,2498.437500,12.187500,407,19.667053,21.878387,437,19.720459,22.097351
1638309439,25.585938,22.187119,0.005493,0.004517,0.003052,0.273438,-0.781441,4.062500,50.012211,1704.750000,2498.625000,12.562500,1704.000000,2498.437500,12.187500,419,19.541931,21.918442,428,19.601440,22.140076
1638310535,25.418091,22.251205,1.999969,0.001068,0.000702,0.312500,-0.781441,4.023438,165.665451,1704.562500,2498.625000,12.375000,1704.562500,2498.437500,12.187500,392,19.528198,21.918442,437,19.511414,22.124054
1638311496,25.332642,22.133713,0.004517,0.003662,0.002319,0.312500,-0.781441,4.042969,50.793652,1703.437500,2498.625000,12.562500,1704.000000,2498.250000,12.187500,410,19.409180,21.862366,428,19.419861,22.084000
1638312458,25.328064,22.133713,0.004395,0.003662,0.002197,0.273438,-0.781441,4.042969,50.012211,1702.875000,2498.625000,12.562500,1703.437500,2498.062500,12.187500,403,19.290161,21.822311,437,19.342041,22.041275
1638313420,25.187683,22.133713,0.004395,0.003540,0.002197,0.273438,-0.781441,4.042969,50.012211,1702.312500,2498.625000,12.562500,1702.500000,2498.250000,12.187500,418,19.245911,21.792938,435,19.207764,22.025253
1638314562,25.103760,22.141724,0.004395,0.003540,0.002197,0.273438,-0.781441,4.023438,142.222229,1701.937500,2498.437500,12.562500,1702.312500,2498.250000,12.187500,414,19.131470,21.806290,431,19.131470,22.011902
1638315524,25.117493,22.187119,0.007568,0.006226,0.003784,0.273438,-0.390720,4.042969,50.012211,1702.312500,2498.437500,12.562500,1702.312500,2498.437500,12.187500,417,19.088745,21.822311,440,18.984985,22.041275
1638316486,25.059509,22.101669,0.004395,0.003540,0.002197,0.273438,-0.781441,4.042969,50.793652,1701.562500,2498.625000,12.375000,1702.312500,2498.250000,12.187500,423,19.033813,21.822311,437,18.966675,22.025253
1638317448,25.158691,22.072296,0.004395,0.003540,0.002197,0.312500,-0.781441,4.042969,50.012211,1701.000000,2498.437500,12.562500,1701.937500,2498.250000,12.187500,418,19.044495,21.792938,445,18.951416,21.969177
1638318563,25.181580,22.133713,0.004395,0.003540,0.002197,0.312500,-0.781441,4.023438,142.222229,1700.062500,2498.250000,12.375000,1700.437500,2498.250000,12.187500,425,19.012451,21.763565,468,18.934631,21.955826
1638319525,25.320435,22.133713,0.004395,0.003540,0.002197,0.273438,-0.781441,4.042969,50.012211,1700.625000,2498.625000,12.562500,1700.437500,2498.250000,12.187500,420,19.001770,21.779587,454,18.905640,21.985199
1638320487,25.540161,22.195129,0.007568,0.006226,0.003784,0.312500,-0.781441,4.042969,50.793652,1701.375000,2498.437500,12.375000,1701.000000,2498.437500,12.187500,440,18.957520,21.806290,465,18.952942,22.025253
1638321449,25.337219,22.072296,0.007568,0.006226,0.003784,0.273438,-0.781441,4.042969,50.793652,1702.125000,2498.437500,12.375000,1701.937500,2498.062500,12.187500,448,18.974304,21.835663,464,18.910217,22.054626
1638322547,25.424194,22.133713,0.004395,0.003540,0.002197,0.312500,-0.781441,4.023438,141.440781,1702.500000,2498.625000,12.562500,1702.687500,2498.062500,12.187500,440,18.891907,21.891739,476,18.896484,22.067978
